epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1062.55,1.89531,1.295,1.33944,0.73012,0.57736,0.64055,0.295,1.91489,1.27869,1.41755,0.007921,0.007921,0.007921
44,1086.09,1.88976,1.3304,1.34742,0.76787,0.55731,0.64535,0.30329,1.90722,1.27164,1.41146,0.0078715,0.0078715,0.0078715
45,1108.63,1.86704,1.3108,1.34453,0.77929,0.57163,0.66252,0.303,1.88941,1.32558,1.40141,0.007822,0.007822,0.007822
46,1132.35,1.8607,1.28991,1.35104,0.80027,0.5745,0.66339,0.30797,1.91385,1.2428,1.4114,0.0077725,0.0077725,0.0077725
47,1155.36,1.86594,1.30554,1.35476,0.76792,0.54011,0.61858,0.28741,1.91405,1.29848,1.43137,0.007723,0.007723,0.007723
48,1178.05,1.88031,1.28097,1.33361,0.77408,0.6038,0.67646,0.30395,1.91983,1.23557,1.41274,0.0076735,0.0076735,0.0076735
49,1201.18,1.87324,1.27387,1.32851,0.75656,0.57881,0.65734,0.30977,1.915,1.25384,1.41309,0.007624,0.007624,0.007624
50,1224.01,1.85979,1.30871,1.37981,0.76158,0.60315,0.66759,0.30703,1.8934,1.23333,1.39358,0.0075745,0.0075745,0.0075745
51,1246.9,1.84146,1.25259,1.31508,0.76564,0.571,0.65997,0.30424,1.91623,1.23651,1.42598,0.007525,0.007525,0.007525
52,1270.59,1.83649,1.2324,1.31211,0.754,0.62356,0.68963,0.32502,1.85939,1.20447,1.37521,0.0074755,0.0074755,0.0074755
53,1293.48,1.82963,1.22072,1.30409,0.79649,0.59437,0.66651,0.31822,1.88284,1.22639,1.4211,0.007426,0.007426,0.007426
54,1316.67,1.84278,1.23139,1.32047,0.74949,0.58023,0.66085,0.30652,1.90139,1.23525,1.40096,0.0073765,0.0073765,0.0073765
55,1339.29,1.81581,1.18967,1.31095,0.82468,0.60651,0.70131,0.3259,1.85817,1.17493,1.37235,0.007327,0.007327,0.007327
56,1362.53,1.79989,1.20291,1.31126,0.83396,0.57593,0.69863,0.33041,1.88072,1.19622,1.38379,0.0072775,0.0072775,0.0072775
57,1385.65,1.78421,1.20886,1.30106,0.83304,0.60315,0.7021,0.33084,1.85004,1.16998,1.3943,0.007228,0.007228,0.007228
58,1409.66,1.79056,1.20201,1.30508,0.78234,0.62309,0.70808,0.32975,1.84863,1.13717,1.3723,0.0071785,0.0071785,0.0071785
59,1431.82,1.77562,1.15711,1.28666,0.77502,0.62184,0.68953,0.32215,1.87869,1.17162,1.38525,0.007129,0.007129,0.007129
60,1454.98,1.79166,1.18006,1.3124,0.79349,0.59456,0.68241,0.3196,1.88393,1.17136,1.3901,0.0070795,0.0070795,0.0070795
61,1479.64,1.7767,1.16255,1.2882,0.79671,0.65692,0.73037,0.34414,1.83303,1.11491,1.36558,0.00703,0.00703,0.00703
62,1502.05,1.75271,1.13746,1.27336,0.85372,0.59885,0.71205,0.34001,1.83234,1.14279,1.37162,0.0069805,0.0069805,0.0069805
63,1525.24,1.7389,1.11524,1.27826,0.8671,0.58883,0.71299,0.33276,1.86033,1.14545,1.37912,0.006931,0.006931,0.006931
64,1548.37,1.72024,1.12699,1.28566,0.84253,0.61891,0.71577,0.33485,1.8433,1.12472,1.36494,0.0068815,0.0068815,0.0068815
65,1571.22,1.72789,1.11135,1.25839,0.82716,0.63324,0.72233,0.34626,1.8307,1.09523,1.36232,0.006832,0.006832,0.006832
66,1594.9,1.74135,1.10274,1.27605,0.77883,0.649,0.7257,0.33955,1.83685,1.11253,1.35746,0.0067825,0.0067825,0.0067825
67,1617.47,1.76513,1.1156,1.27584,0.83466,0.62751,0.72779,0.34132,1.85213,1.11289,1.37195,0.006733,0.006733,0.006733
68,1640.79,1.71764,1.10057,1.25398,0.82924,0.61032,0.71052,0.34172,1.83253,1.12688,1.37394,0.0066835,0.0066835,0.0066835
69,1663.02,1.72889,1.09699,1.26576,0.81369,0.6447,0.73402,0.35098,1.84645,1.07969,1.35923,0.006634,0.006634,0.006634
70,1685.99,1.7153,1.10344,1.2616,0.76043,0.63211,0.7059,0.34091,1.85624,1.14736,1.38164,0.0065845,0.0065845,0.0065845
71,1709.9,1.73876,1.1072,1.28672,0.82507,0.66476,0.7485,0.35824,1.82505,1.06796,1.34832,0.006535,0.006535,0.006535
72,1732.72,1.73136,1.10175,1.28163,0.81425,0.66572,0.74475,0.35744,1.82041,1.06199,1.35533,0.0064855,0.0064855,0.0064855
73,1755.04,1.73548,1.07988,1.27423,0.82853,0.65616,0.74436,0.35349,1.82358,1.0839,1.35635,0.006436,0.006436,0.006436
74,1777.62,1.7214,1.08263,1.26992,0.81194,0.67335,0.75294,0.36443,1.79761,1.0571,1.33113,0.0063865,0.0063865,0.0063865
75,1800.86,1.71428,1.08142,1.27184,0.79604,0.65043,0.73833,0.35364,1.81823,1.09564,1.35757,0.006337,0.006337,0.006337
76,1823.91,1.69124,1.06619,1.26176,0.85013,0.6664,0.76484,0.3606,1.81699,1.03368,1.35338,0.0062875,0.0062875,0.0062875
77,1846.58,1.68976,1.03848,1.24065,0.81838,0.67138,0.75731,0.35826,1.79024,1.03495,1.34877,0.006238,0.006238,0.006238
78,1869.32,1.68301,1.04987,1.249,0.81729,0.67288,0.76124,0.36313,1.81854,1.0319,1.36007,0.0061885,0.0061885,0.0061885
79,1892.2,1.70673,1.06121,1.24956,0.81608,0.66749,0.75209,0.35708,1.8339,1.04471,1.3669,0.006139,0.006139,0.006139
80,1915.37,1.664,1.03359,1.22633,0.80046,0.70691,0.77323,0.3588,1.82397,1.02872,1.34793,0.0060895,0.0060895,0.0060895
81,1938.17,1.67707,1.02539,1.24413,0.83825,0.67335,0.7512,0.35534,1.81398,1.02121,1.34935,0.00604,0.00604,0.00604
82,1961.07,1.68022,1.02835,1.23684,0.82164,0.6447,0.73885,0.35511,1.82814,1.06577,1.35601,0.0059905,0.0059905,0.0059905
83,1984.07,1.67623,1.01773,1.255,0.82308,0.67318,0.74281,0.35664,1.81607,1.04257,1.35314,0.005941,0.005941,0.005941
84,2008.44,1.67058,1.02578,1.24971,0.84903,0.66067,0.76832,0.3698,1.78387,0.99184,1.3373,0.0058915,0.0058915,0.0058915
85,2031.16,1.676,1.02445,1.24484,0.82986,0.68482,0.76408,0.36322,1.79917,1.00288,1.34708,0.005842,0.005842,0.005842
86,2053.43,1.65004,0.99586,1.23858,0.82278,0.69628,0.77414,0.36982,1.80846,1.00096,1.33534,0.0057925,0.0057925,0.0057925
87,2077.29,1.68573,0.99872,1.22844,0.84764,0.69341,0.77666,0.36641,1.81501,0.98205,1.34149,0.005743,0.005743,0.005743
88,2099.97,1.64963,0.98727,1.23655,0.79563,0.70833,0.77132,0.36299,1.81092,0.99338,1.34694,0.0056935,0.0056935,0.0056935
89,2122.57,1.637,0.99189,1.22698,0.85612,0.66905,0.77031,0.3718,1.79969,0.99413,1.34562,0.005644,0.005644,0.005644
90,2144.84,1.64678,0.99748,1.21967,0.84546,0.69758,0.77142,0.37708,1.77633,0.98286,1.32545,0.0055945,0.0055945,0.0055945
91,2168.45,1.64465,0.97891,1.21855,0.82371,0.71777,0.78415,0.37917,1.81215,0.98085,1.34806,0.005545,0.005545,0.005545
92,2190.88,1.6369,0.99097,1.23022,0.83401,0.70917,0.7821,0.36532,1.82084,1.00302,1.35395,0.0054955,0.0054955,0.0054955
93,2214.16,1.65772,0.97179,1.22849,0.79674,0.70757,0.77342,0.36872,1.80434,0.98209,1.33795,0.005446,0.005446,0.005446
94,2237.26,1.63731,0.98799,1.23635,0.81742,0.67765,0.77261,0.37365,1.77518,0.97617,1.33384,0.0053965,0.0053965,0.0053965
95,2259.84,1.63765,0.97756,1.24599,0.87438,0.67807,0.78132,0.38264,1.79631,0.99707,1.33214,0.005347,0.005347,0.005347
96,2283.43,1.63015,0.98611,1.23192,0.79095,0.71347,0.78783,0.37164,1.78729,0.96743,1.34351,0.0052975,0.0052975,0.0052975
97,2306.94,1.63585,0.96279,1.21876,0.84029,0.7063,0.78747,0.38433,1.78692,0.95718,1.33132,0.005248,0.005248,0.005248
98,2330.4,1.62183,0.96117,1.22529,0.87246,0.71203,0.79659,0.38305,1.77345,0.9656,1.3319,0.0051985,0.0051985,0.0051985
99,2353.72,1.62611,0.95753,1.20808,0.81494,0.74444,0.7874,0.37723,1.79495,0.96382,1.3352,0.005149,0.005149,0.005149
100,2375.76,1.63434,0.97196,1.22306,0.82693,0.71878,0.78468,0.37615,1.79036,0.97606,1.34383,0.0050995,0.0050995,0.0050995
101,2398.72,1.60408,0.96068,1.20348,0.85375,0.69054,0.77817,0.37609,1.78696,0.95431,1.34335,0.00505,0.00505,0.00505
102,2421.36,1.60208,0.94505,1.19648,0.85862,0.7192,0.78849,0.3811,1.76459,0.93625,1.32969,0.0050005,0.0050005,0.0050005
103,2443.9,1.61442,0.95415,1.22607,0.85178,0.71633,0.78912,0.37919,1.78784,0.95791,1.33869,0.004951,0.004951,0.004951
104,2466.92,1.60746,0.95609,1.21333,0.83211,0.72206,0.79562,0.39119,1.7879,0.93215,1.33967,0.0049015,0.0049015,0.0049015
105,2492.35,1.60061,0.92593,1.20093,0.86557,0.72877,0.80465,0.38936,1.7785,0.93012,1.33379,0.004852,0.004852,0.004852
106,2521.3,1.61211,0.93185,1.22402,0.84127,0.73926,0.81064,0.38772,1.77087,0.93219,1.33288,0.0048025,0.0048025,0.0048025
107,2555.44,1.59392,0.95239,1.20628,0.84648,0.72063,0.78478,0.37964,1.80753,0.94408,1.34679,0.004753,0.004753,0.004753
108,2588.23,1.59095,0.9247,1.20682,0.87046,0.72206,0.80001,0.38978,1.78672,0.93546,1.34125,0.0047035,0.0047035,0.0047035
109,2619.04,1.57885,0.91631,1.18965,0.82385,0.74374,0.79942,0.38895,1.78401,0.94052,1.33348,0.004654,0.004654,0.004654
110,2651.13,1.57281,0.92638,1.20491,0.87831,0.69341,0.79568,0.39098,1.77684,0.93984,1.33458,0.0046045,0.0046045,0.0046045
