epoch,total_loss,quant_loss,cls_loss,center_loss,val_acc
1,1.0015952938642256,0.23508601234509394,0.32784965748970324,43.86596327561598,0.9464285714285714
2,0.7377879191667606,0.18048036977266654,0.17581336009196746,38.149420029077774,0.9505494505494505
3,0.6848408595109597,0.16283929768281105,0.1704734701376695,35.15280982775566,0.9505494505494505
4,0.6527032133860465,0.1576605851833637,0.15749956571902984,33.75430689102564,0.945054945054945
5,0.6398317233110086,0.15623891544647706,0.15082306338426393,33.27697572952662,0.9532967032967034
6,0.5904708351844397,0.14789380935522226,0.11640326353984001,32.617376963297524,0.9532967032967034
7,0.583085203782106,0.13677844672630995,0.1207024552501165,32.560430771265274,0.9532967032967034
8,0.5653167703212836,0.13962502223558915,0.103842855263979,32.18488972003643,0.9532967032967034
9,0.5497446037255801,0.13725590495727,0.0944147241803316,31.80739779350085,0.9519230769230769
10,0.5445318550635607,0.13442386190096536,0.09420721519451875,31.59007913638384,0.9532967032967034
11,0.5386730340810922,0.13862396432803228,0.08619402024226311,31.385505285018528,0.9519230769230769
12,0.504920278604214,0.12969208508729935,0.06602718279911922,30.920101459209736,0.9519230769230769
13,0.4966709269927098,0.12450913779246502,0.06322440065634556,30.893739895942883,0.9505494505494505
14,0.5678258973818558,0.13014705498249102,0.12380365654826164,31.38751983642578,0.9532967032967034
15,0.4913797905811897,0.12732263616262338,0.061372999961559586,30.268416233551807,0.9532967032967034
16,0.48872856375498647,0.13038825205503365,0.056395140691445425,30.194517771402996,0.9505494505494505
17,0.5007785642758394,0.130301323838723,0.06905410505640201,30.142314030573917,0.9532967032967034
18,0.47444642889194,0.1265560134481161,0.05054387010824986,29.734655673687275,0.9532967032967034
19,0.4583482704101465,0.11886036224090137,0.04043338409601114,29.90545297280336,0.9532967032967034
20,0.4645062111891233,0.11677765406859227,0.052701729899033524,29.502683443900867,0.9505494505494505
21,0.47659614987862414,0.12283518891303967,0.05780057365504595,29.596039356329502,0.9532967032967034
22,0.46190682206398403,0.1178050343042765,0.04925481416285038,29.484698368952824,0.9519230769230769
