epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1065.16,1.83038,1.23412,1.31413,0.74874,0.62607,0.68613,0.29875,1.9631,1.24008,1.43157,0.007921,0.007921,0.007921
44,1108.69,1.81395,1.17737,1.30911,0.82299,0.55587,0.65818,0.29798,1.94072,1.26176,1.431,0.0078715,0.0078715,0.0078715
45,1146.98,1.80548,1.17012,1.3161,0.81748,0.61605,0.7039,0.32579,1.87438,1.17636,1.38151,0.007822,0.007822,0.007822
46,1199.13,1.83078,1.20789,1.32028,0.75537,0.65186,0.70625,0.31466,1.90002,1.18064,1.4148,0.0077725,0.0077725,0.0077725
47,1238.44,1.80559,1.1745,1.30109,0.7691,0.65853,0.71592,0.32395,1.87054,1.17264,1.38124,0.007723,0.007723,0.007723
48,1287.54,1.79684,1.16439,1.30227,0.76656,0.62034,0.69884,0.31831,1.90776,1.20081,1.40859,0.0076735,0.0076735,0.0076735
49,1326.62,1.76005,1.13941,1.30252,0.79578,0.62178,0.70501,0.32268,1.87906,1.17314,1.40504,0.007624,0.007624,0.007624
50,1375.79,1.77569,1.13141,1.29642,0.8334,0.59169,0.69046,0.32183,1.88327,1.16041,1.38204,0.0075745,0.0075745,0.0075745
51,1417.12,1.81465,1.16229,1.29341,0.8171,0.63364,0.71343,0.33188,1.8456,1.12697,1.37364,0.007525,0.007525,0.007525
52,1464.12,1.75275,1.11434,1.2789,0.73836,0.59434,0.67748,0.31757,1.88722,1.18999,1.39348,0.0074755,0.0074755,0.0074755
53,1512.1,1.74722,1.08255,1.28165,0.79116,0.6533,0.7186,0.33147,1.87077,1.16459,1.39691,0.007426,0.007426,0.007426
54,1565.04,1.76276,1.13636,1.28842,0.77517,0.67179,0.73397,0.33646,1.88937,1.08847,1.38261,0.0073765,0.0073765,0.0073765
55,1610.21,1.76062,1.11245,1.2878,0.80325,0.5966,0.68777,0.31427,1.90247,1.14427,1.41023,0.007327,0.007327,0.007327
56,1651.69,1.75771,1.10639,1.28241,0.8154,0.66905,0.73216,0.33655,1.86874,1.08789,1.37115,0.0072775,0.0072775,0.0072775
57,1702,1.71896,1.09107,1.25133,0.80426,0.64753,0.72899,0.33855,1.88133,1.06466,1.39512,0.007228,0.007228,0.007228
58,1757.52,1.72036,1.07067,1.27315,0.82413,0.65121,0.72814,0.33928,1.86311,1.08505,1.37277,0.0071785,0.0071785,0.0071785
59,1804.15,1.7358,1.07026,1.25932,0.73034,0.649,0.71425,0.33325,1.84655,1.11775,1.36464,0.007129,0.007129,0.007129
60,1851,1.72674,1.05459,1.26751,0.84872,0.66046,0.74774,0.35474,1.82937,1.04679,1.35549,0.0070795,0.0070795,0.0070795
