epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,970.575,1.88495,1.28845,1.33925,0.73072,0.58453,0.65001,0.30412,1.88497,1.28725,1.39115,0.007921,0.007921,0.007921
44,993.101,1.90022,1.32746,1.34907,0.77646,0.5702,0.65556,0.31551,1.92018,1.28486,1.4064,0.0078715,0.0078715,0.0078715
45,1015.28,1.85498,1.31046,1.33307,0.80436,0.58453,0.6783,0.3154,1.86211,1.30664,1.38951,0.007822,0.007822,0.007822
46,1037.96,1.87249,1.2912,1.34049,0.77292,0.58453,0.67363,0.31898,1.89043,1.23533,1.39832,0.0077725,0.0077725,0.0077725
47,1060.36,1.85949,1.30175,1.35218,0.78682,0.58023,0.67354,0.31736,1.89373,1.23281,1.42381,0.007723,0.007723,0.007723
48,1082.43,1.87874,1.2807,1.32888,0.82959,0.58585,0.68162,0.32217,1.89563,1.23373,1.39511,0.0076735,0.0076735,0.0076735
49,1105.12,1.88454,1.27739,1.32509,0.83268,0.58166,0.68557,0.32232,1.85666,1.24667,1.38607,0.007624,0.007624,0.007624
50,1127.38,1.88591,1.30453,1.38489,0.81616,0.60424,0.70198,0.34231,1.83628,1.18696,1.36604,0.0075745,0.0075745,0.0075745
51,1149.96,1.8374,1.2469,1.31418,0.83089,0.59834,0.68143,0.31935,1.89746,1.2252,1.4062,0.007525,0.007525,0.007525
52,1172.69,1.83685,1.22516,1.30368,0.80833,0.61023,0.68722,0.32342,1.88964,1.20495,1.38825,0.0074755,0.0074755,0.0074755
53,1194.71,1.8425,1.23734,1.30644,0.80357,0.59193,0.68789,0.32628,1.87093,1.21555,1.387,0.007426,0.007426,0.007426
54,1217.66,1.85287,1.23294,1.32577,0.81744,0.58375,0.68461,0.32394,1.85945,1.22854,1.38705,0.0073765,0.0073765,0.0073765
55,1239.37,1.8103,1.20113,1.30469,0.84943,0.58194,0.70572,0.32265,1.86559,1.19598,1.37533,0.007327,0.007327,0.007327
56,1261.92,1.79696,1.20207,1.30166,0.79797,0.61748,0.69456,0.33192,1.84534,1.20435,1.37143,0.0072775,0.0072775,0.0072775
57,1284.3,1.80596,1.21159,1.30249,0.79038,0.60458,0.68536,0.31912,1.88264,1.21024,1.39856,0.007228,0.007228,0.007228
58,1307.51,1.80186,1.20725,1.30215,0.78185,0.61461,0.6987,0.34301,1.81546,1.17709,1.34999,0.0071785,0.0071785,0.0071785
59,1329.65,1.76493,1.15714,1.27862,0.77754,0.64594,0.71941,0.34369,1.83023,1.15738,1.37309,0.007129,0.007129,0.007129
60,1351.76,1.80124,1.1802,1.31397,0.78165,0.64327,0.69823,0.33039,1.87085,1.16447,1.38305,0.0070795,0.0070795,0.0070795
61,1375.08,1.7719,1.15468,1.28044,0.80804,0.59312,0.69246,0.33602,1.86696,1.17497,1.37791,0.00703,0.00703,0.00703
